,Cumulative_shifted,Correct_start,Correct_stop,Episode_order,Season,Episode,Start_formatted,Stop_formatted,Speaker
124,44921.5,888.4296875,895.0953125000015,101,1,1,0 days 00:14:48.429688,0 days 00:14:55.095313,4
125,44921.5,895.1121875000026,896.6815625000017,101,1,1,0 days 00:14:55.112188,0 days 00:14:56.681563,4
126,44921.5,898.6559374999997,900.4446874999994,101,1,1,0 days 00:14:58.655937,0 days 00:15:00.444687,4
127,44921.5,900.8328124999972,903.904062499998,101,1,1,0 days 00:15:00.832812,0 days 00:15:03.904062,4
128,44921.5,904.2921875000028,908.2578125,101,1,1,0 days 00:15:04.292188,0 days 00:15:08.257812,4
129,44921.5,909.1690624999974,910.4346874999974,101,1,1,0 days 00:15:09.169062,0 days 00:15:10.434687,4
130,44921.5,911.5146874999992,914.1303124999976,101,1,1,0 days 00:15:11.514687,0 days 00:15:14.130312,4
131,44921.5,915.294687499998,916.7459375000036,101,1,1,0 days 00:15:15.294687,0 days 00:15:16.745938,4
132,44921.5,917.0496875000026,919.7665625000008,101,1,1,0 days 00:15:17.049688,0 days 00:15:19.766563,4
133,44921.5,920.6103125000008,921.6059374999968,101,1,1,0 days 00:15:20.610313,0 days 00:15:21.605937,4
134,44921.5,922.6015625,927.7315624999974,101,1,1,0 days 00:15:22.601562,0 days 00:15:27.731562,4
135,44921.5,928.642812500002,936.6921874999972,101,1,1,0 days 00:15:28.642813,0 days 00:15:36.692187,4
136,44921.5,938.075937499998,939.341562499998,101,1,1,0 days 00:15:38.075937,0 days 00:15:39.341562,26
137,44921.5,940.0165625000008,940.9953125000028,101,1,1,0 days 00:15:40.016563,0 days 00:15:40.995313,26
138,44921.5,940.9953125000028,943.8978124999994,101,1,1,0 days 00:15:40.995313,0 days 00:15:43.897812,5
139,44921.5,943.8978124999994,946.2096874999988,101,1,1,0 days 00:15:43.897812,0 days 00:15:46.209687,4
140,44921.5,947.3234375000028,952.4365624999992,101,1,1,0 days 00:15:47.323438,0 days 00:15:52.436562,4
141,44921.5,953.1959375000006,954.4953125000028,101,1,1,0 days 00:15:53.195938,0 days 00:15:54.495313,4
142,44921.5,955.9971874999974,958.4440624999988,101,1,1,0 days 00:15:55.997187,0 days 00:15:58.444062,5
143,44921.5,958.8321874999964,960.0978124999964,101,1,1,0 days 00:15:58.832187,0 days 00:16:00.097812,5
144,44921.5,960.9753124999988,961.8190624999988,101,1,1,0 days 00:16:00.975312,0 days 00:16:01.819062,5
145,44921.5,963.2703124999972,964.0296874999984,101,1,1,0 days 00:16:03.270312,0 days 00:16:04.029687,5
146,44921.5,966.3584374999992,967.5059374999984,101,1,1,0 days 00:16:06.358437,0 days 00:16:07.505937,4
147,44921.5,968.6534374999974,969.2778124999968,101,1,1,0 days 00:16:08.653437,0 days 00:16:09.277812,22
148,44921.5,970.0709375000006,970.9990624999992,101,1,1,0 days 00:16:10.070938,0 days 00:16:10.999062,22
149,44921.5,971.3871874999968,971.9609375,101,1,1,0 days 00:16:11.387187,0 days 00:16:11.960938,22
150,44921.5,972.4165625000024,975.6059374999968,101,1,1,0 days 00:16:12.416563,0 days 00:16:15.605937,22
151,44921.5,979.0653125000026,980.5671874999972,101,1,1,0 days 00:16:19.065313,0 days 00:16:20.567187,22
152,44921.5,980.6515625000028,981.4446874999994,101,1,1,0 days 00:16:20.651563,0 days 00:16:21.444687,22
153,44921.5,982.0015625000016,983.216562499998,101,1,1,0 days 00:16:22.001563,0 days 00:16:23.216562,4
154,44921.5,983.2334374999992,984.3640624999972,101,1,1,0 days 00:16:23.233437,0 days 00:16:24.364062,4
155,44921.5,984.3978124999994,987.9415624999964,101,1,1,0 days 00:16:24.397812,0 days 00:16:27.941562,4
156,44921.5,987.9415624999964,995.5353124999964,101,1,1,0 days 00:16:27.941562,0 days 00:16:35.535312,5
157,44921.5,995.5521874999976,998.9946875000024,101,1,1,0 days 00:16:35.552187,0 days 00:16:38.994688,5
158,44921.5,999.7878124999988,1000.4965624999968,101,1,1,0 days 00:16:39.787812,0 days 00:16:40.496562,5
159,44921.5,1000.4965624999968,1005.0696874999994,101,1,1,0 days 00:16:40.496562,0 days 00:16:45.069687,22
160,44921.5,1005.5084375000006,1011.9378125000004,101,1,1,0 days 00:16:45.508438,0 days 00:16:51.937813,4
161,44921.5,1013.0684374999984,1013.5071874999994,101,1,1,0 days 00:16:53.068437,0 days 00:16:53.507187,4
162,44921.5,1015.279062499998,1016.2746875000012,101,1,1,0 days 00:16:55.279062,0 days 00:16:56.274688,22
163,44921.5,1018.7384374999964,1019.7171874999984,101,1,1,0 days 00:16:58.738437,0 days 00:16:59.717187,22
164,44921.5,1020.6284375000032,1023.0078125,101,1,1,0 days 00:17:00.628438,0 days 00:17:03.007812,22
165,44921.5,1023.0078125,1023.8178124999976,101,1,1,0 days 00:17:03.007812,0 days 00:17:03.817812,2
166,44921.5,1026.973437499997,1027.9521874999991,101,1,1,0 days 00:17:06.973437,0 days 00:17:07.952187,2
167,44921.5,1027.9521874999991,1028.8803124999977,101,1,1,0 days 00:17:07.952187,0 days 00:17:08.880312,0
168,44921.5,1032.3059375000012,1036.4403125000026,101,1,1,0 days 00:17:12.305938,0 days 00:17:16.440313,4
169,44921.5,1036.4403125000026,1044.0003125000003,101,1,1,0 days 00:17:16.440313,0 days 00:17:24.000313,22
170,44921.5,1044.1521875000035,1046.497812499998,101,1,1,0 days 00:17:24.152188,0 days 00:17:26.497812,22
171,44921.5,1046.9365624999991,1047.5271875000035,101,1,1,0 days 00:17:26.936562,0 days 00:17:27.527188,4
172,44921.5,1048.9784375000015,1053.4334375000035,101,1,1,0 days 00:17:28.978438,0 days 00:17:33.433438,4
173,44921.5,1054.6146874999977,1056.2515625000017,101,1,1,0 days 00:17:34.614687,0 days 00:17:36.251563,4
174,44921.5,1057.9896874999977,1059.8628125000032,101,1,1,0 days 00:17:37.989687,0 days 00:17:39.862813,4
175,44921.5,1064.9759374999994,1068.5703125,101,1,1,0 days 00:17:44.975937,0 days 00:17:48.570312,4
176,44921.5,1069.3971874999988,1071.1184375000012,101,1,1,0 days 00:17:49.397187,0 days 00:17:51.118438,4
177,44921.5,1083.3865625000035,1084.4496874999968,101,1,1,0 days 00:18:03.386563,0 days 00:18:04.449687,2
178,44921.5,1085.276562500003,1086.035937499997,101,1,1,0 days 00:18:05.276563,0 days 00:18:06.035937,10
179,44921.5,1087.4365624999991,1088.9046874999983,101,1,1,0 days 00:18:07.436562,0 days 00:18:08.904687,4
180,44921.5,1090.1871874999997,1090.8959374999977,101,1,1,0 days 00:18:10.187187,0 days 00:18:10.895937,4
181,44921.5,1093.3596875000003,1094.1865624999991,101,1,1,0 days 00:18:13.359688,0 days 00:18:14.186562,4
182,44921.5,1094.1865624999991,1094.8446875000009,101,1,1,0 days 00:18:14.186562,0 days 00:18:14.844688,11
183,44921.5,1097.3253124999974,1098.4221875000003,101,1,1,0 days 00:18:17.325312,0 days 00:18:18.422188,11
184,44921.5,1099.4515624999983,1099.957812499997,101,1,1,0 days 00:18:19.451562,0 days 00:18:19.957812,11
185,44921.5,1101.8140625000017,1104.0078125,101,1,1,0 days 00:18:21.814063,0 days 00:18:24.007812,11
186,44921.5,1108.0746874999968,1109.8296875000017,101,1,1,0 days 00:18:28.074687,0 days 00:18:29.829688,4
187,44921.5,1110.0659375000032,1110.470937500002,101,1,1,0 days 00:18:30.065938,0 days 00:18:30.470938,4
188,44921.5,1110.926562499997,1111.3990625000006,101,1,1,0 days 00:18:30.926562,0 days 00:18:31.399063,4
189,44921.5,1115.9215624999997,1116.799062500002,101,1,1,0 days 00:18:35.921562,0 days 00:18:36.799063,4
190,44921.5,1117.9971874999974,1119.2121875000012,101,1,1,0 days 00:18:37.997187,0 days 00:18:39.212188,4
191,44921.5,1133.9778125000012,1134.8721874999974,101,1,1,0 days 00:18:53.977813,0 days 00:18:54.872187,4
192,44921.5,1137.926562499997,1138.770312499997,101,1,1,0 days 00:18:57.926562,0 days 00:18:58.770312,4
193,44921.5,1139.4959375000035,1140.2553124999977,101,1,1,0 days 00:18:59.495938,0 days 00:19:00.255312,4
194,44921.5,1140.6940624999988,1142.0609374999983,101,1,1,0 days 00:19:00.694062,0 days 00:19:02.060937,4
195,44921.5,1142.0946875000009,1142.5165625000009,101,1,1,0 days 00:19:02.094688,0 days 00:19:02.516563,4
196,44921.5,1142.7865624999977,1143.2421875,101,1,1,0 days 00:19:02.786562,0 days 00:19:03.242188,4
197,44921.5,1145.7059375000026,1147.714062500003,101,1,1,0 days 00:19:05.705938,0 days 00:19:07.714063,4
198,44921.5,1149.7221875000032,1150.6840624999968,101,1,1,0 days 00:19:09.722188,0 days 00:19:10.684062,4
199,44921.5,1151.2915625000023,1152.3209375000006,101,1,1,0 days 00:19:11.291563,0 days 00:19:12.320938,4
200,44921.5,1153.6371874999968,1154.7340624999997,101,1,1,0 days 00:19:13.637187,0 days 00:19:14.734062,4
201,44921.5,1156.6409375000003,1161.4503124999974,101,1,1,0 days 00:19:16.640938,0 days 00:19:21.450312,11
202,44921.5,1161.4503124999974,1163.0365624999977,101,1,1,0 days 00:19:21.450312,0 days 00:19:23.036562,4
203,44921.5,1164.7071874999965,1166.2090624999985,101,1,1,0 days 00:19:24.707187,0 days 00:19:26.209062,4
204,44921.5,1167.5253125000015,1169.4153125000012,101,1,1,0 days 00:19:27.525313,0 days 00:19:29.415313,4
205,44921.5,1169.7190625000003,1170.6978125000023,101,1,1,0 days 00:19:29.719063,0 days 00:19:30.697813,4
206,44921.5,1171.6596875000032,1172.9590624999985,101,1,1,0 days 00:19:31.659688,0 days 00:19:32.959062,4
207,44921.5,1174.4103124999965,1175.2034375000003,101,1,1,0 days 00:19:34.410312,0 days 00:19:35.203438,4
208,44921.5,1175.2034375000003,1175.895312499997,101,1,1,0 days 00:19:35.203438,0 days 00:19:35.895312,11
209,44921.5,1176.6715624999997,1177.6503125000015,101,1,1,0 days 00:19:36.671562,0 days 00:19:37.650313,11
210,44921.5,1177.7346875000003,1178.5784375000003,101,1,1,0 days 00:19:37.734688,0 days 00:19:38.578438,4
211,44921.5,1179.776562500003,1183.8940625000032,101,1,1,0 days 00:19:39.776563,0 days 00:19:43.894063,4
212,44921.5,1185.3959374999977,1187.7584375000006,101,1,1,0 days 00:19:45.395937,0 days 00:19:47.758438,4
213,44921.5,1189.3784375000032,1190.205312500002,101,1,1,0 days 00:19:49.378438,0 days 00:19:50.205313,4
214,44921.5,1191.7578125,1195.3521875000006,101,1,1,0 days 00:19:51.757812,0 days 00:19:55.352188,4
215,44921.5,1195.9934375000012,1198.1365625000035,101,1,1,0 days 00:19:55.993438,0 days 00:19:58.136563,4
216,44921.5,1200.026562500003,1200.9378125000003,101,1,1,0 days 00:20:00.026563,0 days 00:20:00.937813,4
217,44921.5,1202.2878124999988,1203.9415624999965,101,1,1,0 days 00:20:02.287812,0 days 00:20:03.941562,4
218,44921.5,1207.9409375000032,1209.9828124999983,101,1,1,0 days 00:20:07.940938,0 days 00:20:09.982812,27
219,44921.5,1211.1978125000023,1212.9696875000009,101,1,1,0 days 00:20:11.197813,0 days 00:20:12.969688,27
220,44921.5,1214.6234374999983,1215.4503124999974,101,1,1,0 days 00:20:14.623437,0 days 00:20:15.450312,27
221,44921.5,1218.9771875000006,1220.9853125000009,101,1,1,0 days 00:20:18.977188,0 days 00:20:20.985313,10
222,44921.5,1221.7109375,1222.3521875000006,101,1,1,0 days 00:20:21.710938,0 days 00:20:22.352188,10
223,44921.5,1223.1284375000032,1224.2084374999977,101,1,1,0 days 00:20:23.128438,0 days 00:20:24.208437,10
224,44921.5,1224.495312500003,1225.0015625000017,101,1,1,0 days 00:20:24.495313,0 days 00:20:25.001563,27
225,44921.5,1225.3896874999991,1225.9465625000012,101,1,1,0 days 00:20:25.389687,0 days 00:20:25.946563,10
226,44921.5,1225.9465625000012,1226.4359374999983,101,1,1,0 days 00:20:25.946563,0 days 00:20:26.435937,27
227,44921.5,1226.9253125000032,1228.4946875000023,101,1,1,0 days 00:20:26.925313,0 days 00:20:28.494688,27
228,44921.5,1228.4946875000023,1229.2540624999965,101,1,1,0 days 00:20:28.494688,0 days 00:20:29.254062,4
229,44921.5,1229.439687500002,1230.5365624999977,101,1,1,0 days 00:20:29.439688,0 days 00:20:30.536562,4
230,44921.5,1231.4646875000035,1232.4771875000006,101,1,1,0 days 00:20:31.464688,0 days 00:20:32.477188,4
231,44921.5,1233.5065624999988,1234.4515624999983,101,1,1,0 days 00:20:33.506562,0 days 00:20:34.451562,4
232,44921.5,1235.885937500003,1236.6284375000032,101,1,1,0 days 00:20:35.885938,0 days 00:20:36.628438,27
233,44921.5,1237.5565625000015,1238.9403125000026,101,1,1,0 days 00:20:37.556563,0 days 00:20:38.940313,27
234,44921.5,1239.0078125,1239.4465625000012,101,1,1,0 days 00:20:39.007812,0 days 00:20:39.446563,27
235,44921.5,1239.4971874999974,1240.442187499997,101,1,1,0 days 00:20:39.497187,0 days 00:20:40.442187,27
236,44921.5,1240.442187499997,1240.9990624999991,101,1,1,0 days 00:20:40.442187,0 days 00:20:40.999062,10
237,44921.5,1241.0834374999977,1243.4459375000006,101,1,1,0 days 00:20:41.083437,0 days 00:20:43.445938,11
238,44921.5,1243.5978124999965,1245.1165624999994,101,1,1,0 days 00:20:43.597812,0 days 00:20:45.116562,11
239,44921.5,1245.3696875000023,1247.0065624999988,101,1,1,0 days 00:20:45.369688,0 days 00:20:47.006562,11
240,44921.5,1249.5715625000012,1250.3815624999988,101,1,1,0 days 00:20:49.571563,0 days 00:20:50.381562,4
